ID, Label, Wikipedia
Q365218,"Charles M. Schwab","Charles M. Schwab"
Q365238,"Józef Glemp","Józef Glemp"
Q365265,"Adolph Bermbach","Adolph Bermbach"
Q365423,"Camilo Castelo Branco","Camilo Castelo Branco"
Q365466,"Adolph Meyer","Adolph Meyer"
Q365557,"Rodolphus Agricola","Rodolphus Agricola"
Q365578,"Nathan Myhrvold","Nathan Myhrvold"
Q365650,"Allan Pinkerton","Allan Pinkerton"
Q365672,"Edmund Morgan","Edmund Morgan (historian)"
Q365808,"Henry S. Foote","Henry S. Foote"
Q365844,"Jerry Weintraub","Jerry Weintraub"
Q365858,"Knut Wicksell","Knut Wicksell"
Q365935,"Andrew Marvell","Andrew Marvell"
Q365941,"Pope Theophilus of Alexandria","Pope Theophilus of Alexandria"
Q365950,"Cleobulus","Cleobulus"
Q365982,"James Henry Breasted","James Henry Breasted"
Q365989,"Francisco Pacheco","Francisco Pacheco"
Q366007,"Kōsaku Hamada","Kōsaku Hamada"
Q366070,"George William Russell","George William Russell"
Q366104,"Adone Zoli","Adone Zoli"
Q366122,"Doug Raney","Doug Raney"
Q366128,"Eisai","Eisai"
Q366131,"Adoniram Judson","Adoniram Judson"
Q366137,"Iver Kleive","Iver Kleive"
Q366266,"Clive Cussler","Clive Cussler"
Q366292,"Fethi Okyar","Fethi Okyar"
Q366307,"Fan S. Noli","Fan S. Noli"
Q366456,"Stéphane Dion","Stéphane Dion"
Q366493,"Olaf Thon","Olaf Thon"
Q366503,"Venedikt Yerofeyev","Venedikt Yerofeyev"
Q366578,"Sully Erna","Sully Erna"
Q366588,"Tommy Aldridge","Tommy Aldridge"
Q366599,"Tab Smith","Tab Smith"
Q366643,"Lloyd Alexander","Lloyd Alexander"
Q366692,"Mesut Yılmaz","Mesut Yılmaz"
Q366696,"Henry X","Henry X, Duke of Bavaria"
Q366715,"David Shimoni","David Shimoni"
Q366741,"Rustichello da Pisa","Rustichello da Pisa"
Q366862,"Adriaan Koerbagh","Adriaan Koerbagh"
Q366978,"Gheorghe Doja","György Dózsa"
Q367073,"Donald Crisp","Donald Crisp"
Q367095,"Murilo Rubião","Murilo Rubião"
Q367116,"Roberto Agramonte","Roberto Agramonte"
Q367201,"Mike Francis","Mike Francis"
Q367330,"Ibn Hawqal","Ibn Hawqal"
Q367348,"Peter Gandy","Peter Gandy (author)"
Q367370,"Wim Gijsen","Wim Gijsen"
Q367387,"William II of Sicily","William II of Sicily"
Q367438,"Euthymenes","Euthymenes"
Q367451,"Paul Haeberlin","Paul Haeberlin (chef)"
Q367506,"Thomas Madden","Thomas F. Madden"
Q367557,"Thorvald Stauning","Thorvald Stauning"
Q367571,"Henry I","Henry I, Duke of Bavaria"
Q367636,"Adriaan Pauw","Adriaan Pauw"
Q367661,"Paul Neumann","Paul Neumann (swimmer)"
Q367830,"Tikhon Khrennikov","Tikhon Khrennikov"
Q367875,"Richard Edgcumbe, 1st Baron Edgcumbe","Richard Edgcumbe, 1st Baron Edgcumbe"
Q367890,"Charles Singer","Charles Singer"
Q367973,"Arman","Arman"
Q368150,"Antipope Sylvester IV","Antipope Sylvester IV"
Q368209,"Salama Moussa","Salama Moussa"
Q368393,"Eberhard Weber","Eberhard Weber"
Q368476,"Johannes Martin Bijvoet","Johannes Martin Bijvoet"
Q368546,"Domenico Veneziano","Domenico Veneziano"
Q368732,"Eliyahu M. Goldratt","Eliyahu M. Goldratt"
Q368792,"John Sangster","John Sangster"
Q368927,"Tania Libertad","Tania Libertad"
Q369174,"Tommy Chong","Tommy Chong"
Q369177,"Emiliano Tardif","Emiliano Tardif"
Q369190,"Frank Borzage","Frank Borzage"
Q369243,"Miloslav Mečíř","Miloslav Mečíř"
Q369437,"Pat Harrison","Pat Harrison"
Q369561,"Vladimir Drinfeld","Vladimir Drinfeld"
Q369608,"Qi Baishi","Qi Baishi"
Q369627,"Peter Atkins","Peter Atkins"
Q369645,"Ryue Nishizawa","Ryue Nishizawa"
Q369756,"Massimo Cacciari","Massimo Cacciari"
Q369793,"Lorenzo Ruiz","Lorenzo Ruiz"
Q369905,"Domenico Jorio","Domenico Jorio"
Q369916,"Charlemagne Palestine","Charlemagne Palestine"
Q370028,"Robert Moody","Robert Moody"
Q370094,"Arthur Jaffe","Arthur Jaffe"
Q370108,"Angelo Rossitto","Angelo Rossitto"
Q370210,"Tarcisius","Tarcisius"
Q370284,"Nelson Dingley","Nelson Dingley Jr."
Q370286,"Frans Helmerson","Frans Helmerson"
Q370512,"Johannes Tinctoris","Johannes Tinctoris"
Q370567,"Jan van der Heyden","Jan van der Heyden"
Q370585,"Latino Orsini","Latino Orsini"
Q370711,"Sébastien Tellier","Sébastien Tellier"
Q370782,"Izidor Kürschner","Izidor Kürschner"
Q370787,"Alexander Lebedev","Alexander Lebedev"
Q370832,"Achille Empéraire","Achille Empéraire"
Q370838,"Walter Mazzarri","Walter Mazzarri"
Q370851,"Janice Galloway","Janice Galloway"
Q370871,"Luc Illusie","Luc Illusie"
Q370880,"Bjørn Sortland","Bjørn Sortland"
Q371147,"Marcelo Sánchez Sorondo","Marcelo Sánchez Sorondo"
Q371182,"Harry Bolton Seed","Harry Bolton Seed"
Q371202,"Big Boi","Big Boi"
